USER_ID,EMAIL,PASSWORD
899,andrew@andrew.com,Ajfodjsofjsdofj____3443
4564a,hi@hi.com,http://127.0.0.1:5000/registerUser
341d0,blah@blah.com,http://127.0.0.1:5000/registerUser
3e315,vueu@gmail.com,b'$2b$12$HhY3J7ZOoQIUYb98NeGNSOxuNooNGty79C.tjC1fk8NghpQHSjzRK'
8ddfe,123@gmail.com,b'$2b$12$LMsoGc4n9.qI6sFl9eh99OhD2Py1UNUR3WFxhrjG4mLseaIRfnJUG'

55d27,me@gmail.com,b'$2b$12$uWoBaE9qizY0z8nuY3KtUOvvNWFy7PX751yqj.yl9e4lQw/pEyh9O'
fa340,1234@gmail.com,b'$2b$12$m7EMBsQy/N/wig8fSp3zOOtdozLiCNpTLTi2tX7G2Qcp9fR3gGfX.'
308b3,4321@gmail.com,b'$2b$12$qx2kzlARgTfmKZc5Id915ee4siQgYTVSv89P9PBKROrHMNu5TZp.W'
936ba,54321@gmail.com,$2b$12$0Rtuv59ty3cLWQFsr53jiO1Um1bveNN5xhFe4Kt0Ru6/3b/ezqNMm
